"Kolkata","5","Breakfast at hotel (₹400), Marble Palace (₹200)","Lunch at Bhojohori Manna (₹700), Relax (Free)","Dinner at Peter Cat (₹700), Departure (₹800)","₹2,800","₹1,800","₹1,800","₹1,000","Budget Hotel","Bhojohori Manna, Peter Cat","Marble Palace","5","[Thrillophilia - Marble Palace](https://www.thrillophilia.com)","[Kolkata Vlog](https://www.youtube.com/watch?v=ghi901)"
"Kovalam","1","Check-in at budget hotel (₹2,000), Lighthouse Beach (Free)","Lunch at Fusion (₹600), Hawa Beach (Free)","Dinner at Bait (₹700), Relax (Free)","₹3,300","₹2,000","₹1,300","₹0","Budget Hotel","Fusion, Bait","Lighthouse Beach, Hawa Beach","5","[Thrillophilia - Kovalam](https://www.thrillophilia.com)","[Kovalam Vlog](https://www.youtube.com/watch?v=jkl234)"
"Kovalam","2","Breakfast at hotel (₹400), Water sports (₹1,000)","Lunch at Suprabhatam (₹500), Samudra Beach (Free)","Dinner at Fusion (₹600), Sunset (Free)","₹2,500","₹2,000","₹1,500","₹1,000","Budget Hotel","Suprabhatam, Fusion","Water sports, Samudra Beach, Sunset","5","[Thrillophilia - Water Sports](https://www.thrillophilia.com)","[Kovalam Vlog](https://www.youtube.com/watch?v=jkl234)"
"Kovalam","3","Breakfast at hotel (₹400), Vizhinjam Lighthouse (₹200)","Lunch at Bait (₹700), Departure (₹800)","-","₹2,100","₹2,000","₹1,100","₹1,000","Budget Hotel","Bait","Vizhinjam Lighthouse","5","[Thrillophilia - Vizhinjam](https://www.thrillophilia.com)","[Kovalam Vlog](https://www.youtube.com/watch?v=jkl234)"
"Kovalam","4","Breakfast at hotel (₹400), Ayurveda massage (₹1,200)","Lunch at Fusion (₹600), Relax (Free)","Dinner at Suprabhatam (₹500), Night walk (Free)","₹2,700","₹2,000","₹1,500","₹1,200","Budget Hotel","Fusion, Suprabhatam","Ayurveda massage","5","[Thrillophilia - Ayurveda](https://www.thrillophilia.com)","[Kovalam Vlog](https://www.youtube.com/watch?v=jkl234)"
"Kovalam","5","Breakfast at hotel (₹400), Shopping (₹600)","Lunch at Bait (₹700), Relax (Free)","Dinner at Fusion (₹600), Departure (₹800)","₹3,100","₹2,000","₹1,700","₹1,400","Budget Hotel","Bait, Fusion","Shopping","5","Pick up spices and handicrafts","[Kovalam Vlog](https://www.youtube.com/watch?v=jkl234)"
"Ladakh","1","Check-in at guesthouse (₹2,500), Leh Palace (₹200)","Lunch at Tibetan Kitchen (₹700), Shanti Stupa (Free)","Dinner at Gesmo (₹800), Relax (Free)","₹4,200","₹2,500","₹1,500","₹200","Guesthouse","Tibetan Kitchen, Gesmo","Leh Palace, Shanti Stupa","7","[Thrillophilia - Leh Palace](https://www.thrillophilia.com)","[Ladakh Vlog](https://www.youtube.com/watch?v=mno678)"
"Ladakh","2","Breakfast at guesthouse (₹400), Pangong Lake trip (₹2,000)","Lunch at local dhaba (₹600), Lake views (Free)","Dinner at Gesmo (₹800), Night camp (₹1,500)","₹5,300","₹4,000","₹1,800","₹2,000","Camp","Local Dhaba, Gesmo","Pangong Lake trip","7","[Thrillophilia - Pangong Lake](https://www.thrillophilia.com)","[Ladakh Vlog](https://www.youtube.com/watch?v=mno678)"
"Ladakh","3","Breakfast at camp (₹500), Nubra Valley trip (₹2,500)","Lunch at Hunder Cafe (₹700), Diskit Monastery (₹200)","Dinner at camp (₹900), Stargazing (Free)","₹4,800","₹4,000","₹2,100","₹2,700","Camp","Hunder Cafe, Camp Dining","Nubra Valley trip, Diskit Monastery","7","[Thrillophilia - Nubra Valley](https://www.thrillophilia.com)","[Ladakh Vlog](https://www.youtube.com/watch?v=mno678)"
"Ladakh","4","Breakfast at camp (₹500), Camel ride (₹1,000)","Lunch at local dhaba (₹600), Return to Leh (₹1,200)","Dinner at Tibetan Kitchen (₹800), Relax (Free)","₹4,100","₹2,500","₹1,900","₹2,200","Guesthouse","Local Dhaba, Tibetan Kitchen","Camel ride, Return to Leh","7","[Thrillophilia - Camel Ride](https://www.thrillophilia.com)","[Ladakh Vlog](https://www.youtube.com/watch?v=mno678)"
"Ladakh","5","Breakfast at guesthouse (₹400), Hemis Monastery (₹300)","Lunch at Gesmo (₹800), Relax (Free)","Dinner at Tibetan Kitchen (₹800), Night walk (Free)","₹2,300","₹2,500","₹2,000","₹300","Guesthouse","Gesmo, Tibetan Kitchen","Hemis Monastery","7","[Thrillophilia - Hemis](https://www.thrillophilia.com)","[Ladakh Vlog](https://www.youtube.com/watch?v=mno678)"
"Ladakh","6","Breakfast at guesthouse (₹400), Thiksey Monastery (₹200)","Lunch at local dhaba (₹600), Shopping (₹1,000)","Dinner at Gesmo (₹800), Relax (Free)","₹3,000","₹2,500","₹1,800","₹1,200","Guesthouse","Local Dhaba, Gesmo","Thiksey Monastery, Shopping","7","Pick up prayer flags and jewelry","[Ladakh Vlog](https://www.youtube.com/watch?v=mno678)"
"Ladakh","7","Breakfast at guesthouse (₹400), Khardung La pass (₹1,500)","Lunch at Tibetan Kitchen (₹700), Relax (Free)","Dinner at Gesmo (₹800), Departure (₹1,800)","₹5,200","₹2,500","₹1,900","₹3,300","Guesthouse","Tibetan Kitchen, Gesmo","Khardung La pass","7","[Thrillophilia - Khardung La](https://www.thrillophilia.com)","[Ladakh Vlog](https://www.youtube.com/watch?v=mno678)"
"Manali","1","Check-in at budget hotel (₹1,800), Hidimba Temple (Free)","Lunch at Cafe 1947 (₹600), Manu Temple (Free)","Dinner at Johnson’s Cafe (₹700), Relax (Free)","₹3,100","₹1,800","₹1,300","₹0","Budget Hotel","Cafe 1947, Johnson’s Cafe","Hidimba Temple, Manu Temple","6","[Thrillophilia - Hidimba Temple](https://www.thrillophilia.com)","[Manali Vlog](https://www.youtube.com/watch?v=pqr901)"
"Manali","2","Breakfast at hotel (₹400), Solang Valley (₹1,000)","Lunch at Chopsticks (₹600), Paragliding (₹1,500)","Dinner at Cafe 1947 (₹700), Night walk (Free)","₹4,200","₹1,800","₹1,700","₹2,500","Budget Hotel","Chopsticks, Cafe 1947","Solang Valley, Paraglading","6","[Thrillophilia - Solang Valley](https://www.thrillophilia.com)","[Manali Vlog](https://www.youtube.com/watch?v=pqr901)"
"Manali","3","Breakfast at hotel (₹400), Rohtang Pass (₹2,000)","Lunch at local dhaba (₹500), Snow play (Free)","Dinner at Johnson’s Cafe (₹700), Relax (Free)","₹3,600","₹1,800","₹1,600","₹2,000","Budget Hotel","Local Dhaba, Johnson’s Cafe","Rohtang Pass, Snow play","6","[Thrillophilia - Rohtang Pass](https://www.thrillophilia.com)","[Manali Vlog](https://www.youtube.com/watch?v=pqr901)"
"Manali","4","Breakfast at hotel (₹400), Vashisht Hot Springs (Free)","Lunch at Chopsticks (₹600), Departure (₹800)","-","₹1,800","₹1,800","₹1,000","₹800","Budget Hotel","Chopsticks","Vashisht Hot Springs","6","[Thrillophilia - Vashisht](https://www.thrillophilia.com)","[Manali Vlog](https://www.youtube.com/watch?v=pqr901)"
"Manali","5","Breakfast at hotel (₹400), Jogini Falls trek (₹300)","Lunch at Cafe 1947 (₹600), Relax (Free)","Dinner at Johnson’s Cafe (₹700), Night walk (Free)","₹2,000","₹1,800","₹1,700","₹300","Budget Hotel","Cafe 1947, Johnson’s Cafe","Jogini Falls trek","6","[Thrillophilia - Jogini Falls](https://www.thrillophilia.com)","[Manali Vlog](https://www.youtube.com/watch?v=pqr901)"
"Manali","6","Breakfast at hotel (₹400), Shopping (₹800)","Lunch at Chopsticks (₹600), Relax (Free)","Dinner at Cafe 1947 (₹700), Departure (₹800)","₹3,300","₹1,800","₹1,700","₹1,600","Budget Hotel","Chopsticks, Cafe 1947","Shopping","6","Pick up woolens and handicrafts","[Manali Vlog](https://www.youtube.com/watch?v=pqr901)"
"Mathura","1","Check-in at budget hotel (₹1,200), Krishna Janmabhoomi (Free)","Lunch at Brijwasi (₹500), Vishram Ghat (Free)","Dinner at Shankar Mithai (₹400), Relax (Free)","₹2,100","₹1,200","₹900","₹0","Budget Hotel","Brijwasi, Shankar Mithai","Krishna Janmabhoomi, Vishram Ghat","5","[Thrillophilia - Krishna Janmabhoomi](https://www.thrillophilia.com)","[Mathura Vlog](https://www.youtube.com/watch?v=stu234)"
"Mathura","2","Breakfast at hotel (₹300), Prem Mandir (Free)","Lunch at Agrawal (₹400), Yamuna boat ride (₹300)","Dinner at Brijwasi (₹500), Night prayer (Free)","₹1,500","₹1,200","₹1,200","₹300","Budget Hotel","Agrawal, Brijwasi","Prem Mandir, Yamuna boat ride","5","[Thrillophilia - Prem Mandir](https://www.thrillophilia.com)","[Mathura Vlog](https://www.youtube.com/watch?v=stu234)"
"Mathura","3","Breakfast at hotel (₹300), Govardhan Hill (₹200)","Lunch at Shankar Mithai (₹400), Departure (₹600)","-","₹1,500","₹1,200","₹700","₹800","Budget Hotel","Shankar Mithai","Govardhan Hill","5","[Thrillophilia - Govardhan](https://www.thrillophilia.com)","[Mathura Vlog](https://www.youtube.com/watch?v=stu234)"
"Mathura","4","Breakfast at hotel (₹300), Kusum Sarovar (Free)","Lunch at Brijwasi (₹500), Relax (Free)","Dinner at Agrawal (₹400), Night walk (Free)","₹1,200","₹1,200","₹1,200","₹0","Budget Hotel","Brijwasi, Agrawal","Kusum Sarovar","5","[Thrillophilia - Kusum Sarovar](https://www.thrillophilia.com)","[Mathura Vlog](https://www.youtube.com/watch?v=stu234)"
"Mathura","5","Breakfast at hotel (₹300), Shopping (₹500)","Lunch at Shankar Mithai (₹400), Relax (Free)","Dinner at Brijwasi (₹500), Departure (₹600)","₹2,300","₹1,200","₹1,200","₹1,100","Budget Hotel","Shankar Mithai, Brijwasi","Shopping","5","Pick up peda and souvenirs","[Mathura Vlog](https://www.youtube.com/watch?v=stu234)"
"Mount Abu","1","Check-in at budget hotel (₹1,500), Nakki Lake (₹200)","Lunch at Arbuda (₹600), Sunset Point (Free)","Dinner at Mulberry Tree (₹700), Relax (Free)","₹3,000","₹1,500","₹1,300","₹200","Budget Hotel","Arbuda, Mulberry Tree","Nakki Lake, Sunset Point","5","[Thrillophilia - Nakki Lake](https://www.thrillophilia.com)","[Mount Abu Vlog](https://www.youtube.com/watch?v=vwx567)"
"Mount Abu","2","Breakfast at hotel (₹400), Dilwara Temples (Free)","Lunch at Jodhpur Bhojanalaya (₹500), Guru Shikhar (₹300)","Dinner at Arbuda (₹600), Night walk (Free)","₹1,800","₹1,500","₹1,500","₹300","Budget Hotel","Jodhpur Bhojanalaya, Arbuda","Dilwara Temples, Guru Shikhar","5","[Thrillophilia - Dilwara](https://www.thrillophilia.com)","[Mount Abu Vlog](https://www.youtube.com/watch?v=vwx567)"
"Mount Abu","3","Breakfast at hotel (₹400), Toad Rock (Free)","Lunch at Mulberry Tree (₹700), Departure (₹800)","-","₹1,900","₹1,500","₹1,100","₹800","Budget Hotel","Mulberry Tree","Toad Rock","5","[Thrillophilia - Toad Rock](https://www.thrillophilia.com)","[Mount Abu Vlog](https://www.youtube.com/watch?v=vwx567)"
"Mount Abu","4","Breakfast at hotel (₹400), Achalgarh Fort (₹200)","Lunch at Arbuda (₹600), Relax (Free)","Dinner at Jodhpur Bhojanalaya (₹500), Night walk (Free)","₹1,700","₹1,500","₹1,500","₹200","Budget Hotel","Arbuda, Jodhpur Bhojanalaya","Achalgarh Fort","5","[Thrillophilia - Achalgarh](https://www.thrillophilia.com)","[Mount Abu Vlog](https://www.youtube.com/watch?v=vwx567)"
"Mount Abu","5","Breakfast at hotel (₹400), Shopping (₹600)","Lunch at Mulberry Tree (₹700), Relax (Free)","Dinner at Arbuda (₹600), Departure (₹800)","₹3,100","₹1,500","₹1,700","₹1,400","Budget Hotel","Mulberry Tree, Arbuda","Shopping","5","Pick up handicrafts","[Mount Abu Vlog](https://www.youtube.com/watch?v=vwx567)"
"Mumbai","1","Check-in at budget hotel (₹2,000), Gateway of India (Free)","Lunch at Leopold Cafe (₹800), Marine Drive (Free)","Dinner at Trishna (₹1,000), Relax (Free)","₹3,800","₹2,000","₹1,800","₹0","Budget Hotel","Leopold Cafe, Trishna","Gateway of India, Marine Drive","5","[Thrillophilia - Gateway of India](https://www.thrillophilia.com)","[Mumbai Vlog](https://www.youtube.com/watch?v=yz901)"
"Mumbai","2","Breakfast at hotel (₹500), Elephanta Caves (₹1,000)","Lunch at Khyber (₹900), Colaba Causeway (Free)","Dinner at Bademiya (₹700), Night walk (Free)","₹3,100","₹2,000","₹2,100","₹1,000","Budget Hotel","Khyber, Bademiya","Elephanta Caves, Colaba Causeway","5","[Thrillophilia - Elephanta](https://www.thrillophilia.com)","[Mumbai Vlog](https://www.youtube.com/watch?v=yz901)"
"Mumbai","3","Breakfast at hotel (₹500), Siddhivinayak Temple (Free)","Lunch at Leopold Cafe (₹800), Departure (₹1,000)","-","₹2,300","₹2,000","₹1,300","₹1,000","Budget Hotel","Leopold Cafe","Siddhivinayak Temple","5","[Thrillophilia - Siddhivinayak](https://www.thrillophilia.com)","[Mumbai Vlog](https://www.youtube.com/watch?v=yz901)"
"Mumbai","4","Breakfast at hotel (₹500), Bandra Bandstand (Free)","Lunch at Trishna (₹1,000), Shopping (₹1,200)","Dinner at Khyber (₹900), Relax (Free)","₹3,600","₹2,000","₹2,400","₹1,200","Budget Hotel","Trishna, Khyber","Bandra Bandstand, Shopping","5","Pick up clothes and accessories","[Mumbai Vlog](https://www.youtube.com/watch?v=yz901)"
"Mumbai","5","Breakfast at hotel (₹500), Haji Ali Dargah (Free)","Lunch at Bademiya (₹700), Relax (Free)","Dinner at Leopold Cafe (₹800), Departure (₹1,000)","₹3,000","₹2,000","₹2,000","₹1,000","Budget Hotel","Bademiya, Leopold Cafe","Haji Ali Dargah","5","[Thrillophilia - Haji Ali](https://www.thrillophilia.com)","[Mumbai Vlog](https://www.youtube.com/watch?v=yz901)"
"Munnar","1","Check-in at budget hotel (₹1,800), Tea Gardens (₹200)","Lunch at Saravana Bhavan (₹500), Mattupetty Dam (₹300)","Dinner at Rapsy (₹600), Relax (Free)","₹3,400","₹1,800","₹1,100","₹500","Budget Hotel","Saravana Bhavan, Rapsy","Tea Gardens, Mattupetty Dam","6","[Thrillophilia - Munnar Tea Gardens](https://www.thrillophilia.com)","[Munnar Vlog](https://www.youtube.com/watch?v=abc678)"
"Munnar","2","Breakfast at hotel (₹400), Eravikulam National Park (₹500)","Lunch at Guru’s (₹600), Anamudi Peak view (Free)","Dinner at Saravana Bhavan (₹500), Night walk (Free)","₹2,000","₹1,800","₹1,500","₹500","Budget Hotel","Guru’s, Saravana Bhavan","Eravikulam National Park, Anamudi Peak view","6","[Thrillophilia - Eravikulam](https://www.thrillophilia.com)","[Munnar Vlog](https://www.youtube.com/watch?v=abc678)"
"Munnar","3","Breakfast at hotel (₹400), Top Station (₹300)","Lunch at Rapsy (₹600), Echo Point (Free)","Dinner at Guru’s (₹600), Relax (Free)","₹1,900","₹1,800","₹1,600","₹300","Budget Hotel","Rapsy, Guru’s","Top Station, Echo Point","6","[Thrillophilia - Top Station](https://www.thrillophilia.com)","[Munnar Vlog](https://www.youtube.com/watch?v=abc678)"
"Munnar","4","Breakfast at hotel (₹400), Kundala Lake (₹200)","Lunch at Saravana Bhavan (₹500), Departure (₹800)","-","₹1,900","₹1,800","₹900","₹1,000","Budget Hotel","Saravana Bhavan","Kundala Lake","6","[Thrillophilia - Kundala Lake](https://www.thrillophilia.com)","[Munnar Vlog](https://www.youtube.com/watch?v=abc678)"
"Munnar","5","Breakfast at hotel (₹400), Pothamedu Viewpoint (Free)","Lunch at Guru’s (₹600), Relax (Free)","Dinner at Rapsy (₹600), Night walk (Free)","₹1,600","₹1,800","₹1,600","₹0","Budget Hotel","Guru’s, Rapsy","Pothamedu Viewpoint","6","[Thrillophilia - Pothamedu](https://www.thrillophilia.com)","[Munnar Vlog](https://www.youtube.com/watch?v=abc678)"
"Munnar","6","Breakfast at hotel (₹400), Shopping (₹600)","Lunch at Saravana Bhavan (₹500), Relax (Free)","Dinner at Guru’s (₹600), Departure (₹800)","₹2,900","₹1,800","₹1,500","₹1,400","Budget Hotel","Saravana Bhavan, Guru’s","Shopping","6","Pick up tea and spices","[Munnar Vlog](https://www.youtube.com/watch?v=abc678)"
"Mussoorie","1","Check-in at budget hotel (₹1,800), Kempty Falls (₹300)","Lunch at Uphar (₹600), Gun Hill (₹200)","Dinner at Lovely Omelette (₹500), Relax (Free)","₹3,400","₹1,800","₹1,100","₹500","Budget Hotel","Uphar, Lovely Omelette","Kempty Falls, Gun Hill","5","[Thrillophilia - Kempty Falls](https://www.thrillophilia.com)","[Mussoorie Vlog](https://www.youtube.com/watch?v=def901)"
"Mussoorie","2","Breakfast at hotel (₹400), Mall Road (Free)","Lunch at Kalsang (₹700), Lal Tibba (₹200)","Dinner at Uphar (₹600), Night walk (Free)","₹1,900","₹1,800","₹1,700","₹200","Budget Hotel","Kalsang, Uphar","Mall Road, Lal Tibba","5","[Thrillophilia - Lal Tibba](https://www.thrillophilia.com)","[Mussoorie Vlog](https://www.youtube.com/watch?v=def901)"
"Mussoorie","3","Breakfast at hotel (₹400), Camel’s Back Road (Free)","Lunch at Lovely Omelette (₹500), Departure (₹800)","-","₹1,700","₹1,800","₹900","₹800","Budget Hotel","Lovely Omelette","Camel’s Back Road","5","[Thrillophilia - Camel’s Back](https://www.thrillophilia.com)","[Mussoorie Vlog](https://www.youtube.com/watch?v=def901)"
"Mussoorie","4","Breakfast at hotel (₹400), Company Garden (₹200)","Lunch at Uphar (₹600), Relax (Free)","Dinner at Kalsang (₹700), Night walk (Free)","₹1,900","₹1,800","₹1,700","₹200","Budget Hotel","Uphar, Kalsang","Company Garden","5","[Thrillophilia - Company Garden](https://www.thrillophilia.com)","[Mussoorie Vlog](https://www.youtube.com/watch?v=def901)"
"Mussoorie","5","Breakfast at hotel (₹400), Shopping (₹600)","Lunch at Lovely Omelette (₹500), Relax (Free)","Dinner at Uphar (₹600), Departure (₹800)","₹2,900","₹1,800","₹1,500","₹1,400","Budget Hotel","Lovely Omelette, Uphar","Shopping","5","Pick up woolens and souvenirs","[Mussoorie Vlog](https://www.youtube.com/watch?v=def901)"
"Mysore","1","Check-in at budget hotel (₹1,500), Mysore Palace (₹500)","Lunch at Vinayaka Mylari (₹400), Chamundi Hills (₹200)","Dinner at Oyster Bay (₹700), Relax (Free)","₹3,300","₹1,500","₹1,100","₹700","Budget Hotel","Vinayaka Mylari, Oyster Bay","Mysore Palace, Chamundi Hills","5","[Thrillophilia - Mysore Palace](https://www.thrillophilia.com)","[Mysore Vlog](https://www.youtube.com/watch?v=ghi234)"
"Mysore","2","Breakfast at hotel (₹400), Brindavan Gardens (₹300)","Lunch at Hotel RRR (₹600), St. Philomena’s Church (Free)","Dinner at Vinayaka Mylari (₹400), Night walk (Free)","₹1,700","₹1,500","₹1,400","₹300","Budget Hotel","Hotel RRR, Vinayaka Mylari","Brindavan Gardens, St. Philomena’s Church","5","[Thrillophilia - Brindavan Gardens](https://www.thrillophilia.com)","[Mysore Vlog](https://www.youtube.com/watch?v=ghi234)"
"Mysore","3","Breakfast at hotel (₹400), Jaganmohan Palace (₹200)","Lunch at Oyster Bay (₹700), Departure (₹800)","-","₹2,100","₹1,500","₹1,100","₹1,000","Budget Hotel","Oyster Bay","Jaganmohan Palace","5","[Thrillophilia - Jaganmohan](https://www.thrillophilia.com)","[Mysore Vlog](https://www.youtube.com/watch?v=ghi234)"
"Mysore","4","Breakfast at hotel (₹400), Srirangapatna (₹300)","Lunch at Vinayaka Mylari (₹400), Relax (Free)","Dinner at Hotel RRR (₹600), Night walk (Free)","₹1,700","₹1,500","₹1,400","₹300","Budget Hotel","Vinayaka Mylari, Hotel RRR","Srirangapatna","5","[Thrillophilia - Srirangapatna](https://www.thrillophilia.com)","[Mysore Vlog](https://www.youtube.com/watch?v=ghi234)"
"Mysore","5","Breakfast at hotel (₹400), Shopping (₹600)","Lunch at Oyster Bay (₹700), Relax (Free)","Dinner at Vinayaka Mylari (₹400), Departure (₹800)","₹2,900","₹1,500","₹1,500","₹1,400","Budget Hotel","Oyster Bay, Vinayaka Mylari","Shopping","5","Pick up silk and sandalwood","[Mysore Vlog](https://www.youtube.com/watch?v=ghi234)"
"Nainital","1","Check-in at budget hotel (₹1,800), Naini Lake (₹300)","Lunch at Sakley’s (₹600), Naina Devi Temple (Free)","Dinner at Machan (₹700), Relax (Free)","₹3,400","₹1,800","₹1,300","₹300","Budget Hotel","Sakley’s, Machan","Naini Lake, Naina Devi Temple","5","[Thrillophilia - Naini Lake](https://www.thrillophilia.com)","[Nainital Vlog](https://www.youtube.com/watch?v=jkl567)"
"Nainital","2","Breakfast at hotel (₹400), Snow View Point (₹200)","Lunch at Zooby’s Kitchen (₹500), Boating (₹500)","Dinner at Sakley’s (₹600), Night walk (Free)","₹2,200","₹1,800","₹1,500","₹700","Budget Hotel","Zooby’s Kitchen, Sakley’s","Snow View Point, Boating","5","[Thrillophilia - Snow View](https://www.thrillophilia.com)","[Nainital Vlog](https://www.youtube.com/watch?v=jkl567)"
"Nainital","3","Breakfast at hotel (₹400), Tiffin Top (₹200)","Lunch at Machan (₹700), Departure (₹800)","-","₹2,100","₹1,800","₹1,100","₹1,000","Budget Hotel","Machan","Tiffin Top","5","[Thrillophilia - Tiffin Top](https://www.thrillophilia.com)","[Nainital Vlog](https://www.youtube.com/watch?v=jkl567)"
"Nainital","4","Breakfast at hotel (₹400), Eco Cave Gardens (₹200)","Lunch at Sakley’s (₹600), Relax (Free)","Dinner at Zooby’s Kitchen (₹500), Night walk (Free)","₹1,700","₹1,800","₹1,500","₹200","Budget Hotel","Sakley’s, Zooby’s Kitchen","Eco Cave Gardens","5","[Thrillophilia - Eco Cave](https://www.thrillophilia.com)","[Nainital Vlog](https://www.youtube.com/watch?v=jkl567)"
"Nainital","5","Breakfast at hotel (₹400), Shopping (₹600)","Lunch at Machan (₹700), Relax (Free)","Dinner at Sakley’s (₹600), Departure (₹800)","₹3,100","₹1,800","₹1,700","₹1,400","Budget Hotel","Machan, Sakley’s","Shopping","5","Pick up candles and woolens","[Nainital Vlog](https://www.youtube.com/watch?v=jkl567)"
"Ooty","1","Check-in at budget hotel (₹1,800), Botanical Gardens (₹200)","Lunch at Earl’s Secret (₹600), Ooty Lake (₹300)","Dinner at Shinkow’s (₹700), Relax (Free)","₹3,600","₹1,800","₹1,300","₹500","Budget Hotel","Earl’s Secret, Shinkow’s","Botanical Gardens, Ooty Lake","6","[Thrillophilia - Botanical Gardens](https://www.thrillophilia.com)","[Ooty Vlog](https://www.youtube.com/watch?v=mno234)"
"Ooty","2","Breakfast at hotel (₹400), Doddabetta Peak (₹200)","Lunch at Place to Bee (₹500), Rose Garden (₹200)","Dinner at Earl’s Secret (₹600), Night walk (Free)","₹1,900","₹1,800","₹1,500","₹400","Budget Hotel","Place to Bee, Earl’s Secret","Doddabetta Peak, Rose Garden","6","[Thrillophilia - Doddabetta](https://www.thrillophilia.com)","[Ooty Vlog](https://www.youtube.com/watch?v=mno234)"
"Ooty","3","Breakfast at hotel (₹400), Pykara Falls (₹300)","Lunch at Shinkow’s (₹700), Tea Factory (₹200)","Dinner at Place to Bee (₹500), Relax (Free)","₹2,100","₹1,800","₹1,600","₹500","Budget Hotel","Shinkow’s, Place to Bee","Pykara Falls, Tea Factory","6","[Thrillophilia - Pykara Falls](https://www.thrillophilia.com)","[Ooty Vlog](https://www.youtube.com/watch?v=mno234)"
"Ooty","4","Breakfast at hotel (₹400), Sims Park (₹200)","Lunch at Earl’s Secret (₹600), Departure (₹800)","-","₹2,000","₹1,800","₹1,000","₹1,000","Budget Hotel","Earl’s Secret","Sims Park","6","[Thrillophilia - Sims Park](https://www.thrillophilia.com)","[Ooty Vlog](https://www.youtube.com/watch?v=mno234)"
"Ooty","5","Breakfast at hotel (₹400), Avalanche Lake (₹300)","Lunch at Shinkow’s (₹700), Relax (Free)","Dinner at Place to Bee (₹500), Night walk (Free)","₹1,900","₹1,800","₹1,600","₹300","Budget Hotel","Shinkow’s, Place to Bee","Avalanche Lake","6","[Thrillophilia - Avalanche Lake](https://www.thrillophilia.com)","[Ooty Vlog](https://www.youtube.com/watch?v=mno234)"
"Ooty","6","Breakfast at hotel (₹400), Shopping (₹600)","Lunch at Earl’s Secret (₹600), Relax (Free)","Dinner at Shinkow’s (₹700), Departure (₹800)","₹3,100","₹1,800","₹1,700","₹1,400","Budget Hotel","Earl’s Secret, Shinkow’s","Shopping","6","Pick up tea and eucalyptus oil","[Ooty Vlog](https://www.youtube.com/watch?v=mno234)"
"Pondicherry","1","Check-in at budget hotel (₹1,800), Promenade Beach (Free)","Lunch at Cafe des Arts (₹600), Auroville (₹300)","Dinner at Surguru (₹700), Relax (Free)","₹3,400","₹1,800","₹1,300","₹300","Budget Hotel","Cafe des Arts, Surguru","Promenade Beach, Auroville","5","[Thrillophilia - Auroville](https://www.thrillophilia.com)","[Pondicherry Vlog](https://www.youtube.com/watch?v=pqr567)"
"Pondicherry","2","Breakfast at hotel (₹400), Paradise Beach (₹500)","Lunch at La Villa (₹800), French Quarter (Free)","Dinner at Cafe des Arts (₹600), Night walk (Free)","₹2,300","₹1,800","₹1,800","₹500","Budget Hotel","La Villa, Cafe des Arts","Paradise Beach, French Quarter","5","[Thrillophilia - Paradise Beach](https://www.thrillophilia.com)","[Pondicherry Vlog](https://www.youtube.com/watch?v=pqr567)"
"Pondicherry","3","Breakfast at hotel (₹400), Sri Aurobindo Ashram (Free)","Lunch at Surguru (₹700), Departure (₹800)","-","₹1,900","₹1,800","₹1,100","₹800","Budget Hotel","Surguru","Sri Aurobindo Ashram","5","[Thrillophilia - Ashram](https://www.thrillophilia.com)","[Pondicherry Vlog](https://www.youtube.com/watch?v=pqr567)"
"Pondicherry","4","Breakfast at hotel (₹400), Chunnambar Boat House (₹500)","Lunch at Cafe des Arts (₹600), Relax (Free)","Dinner at La Villa (₹800), Night walk (Free)","₹2,300","₹1,800","₹1,800","₹500","Budget Hotel","Cafe des Arts, La Villa","Chunnambar Boat House","5","[Thrillophilia - Chunnambar](https://www.thrillophilia.com)","[Pondicherry Vlog](https://www.youtube.com/watch?v=pqr567)"
"Pondicherry","5","Breakfast at hotel (₹400), Shopping (₹600)","Lunch at Surguru (₹700), Relax (Free)","Dinner at Cafe des Arts (₹600), Departure (₹800)","₹3,100","₹1,800","₹1,700","₹1,400","Budget Hotel","Surguru, Cafe des Arts","Shopping","5","Pick up candles and handicrafts","[Pondicherry Vlog](https://www.youtube.com/watch?v=pqr567)"
"Puri","1","Check-in at budget hotel (₹1,500), Jagannath Temple (Free)","Lunch at Wildgrass (₹500), Puri Beach (Free)","Dinner at Honey Bee (₹600), Relax (Free)","₹2,600","₹1,500","₹1,100","₹0","Budget Hotel","Wildgrass, Honey Bee","Jagannath Temple, Puri Beach","5","[Thrillophilia - Jagannath Temple](https://www.thrillophilia.com)","[Puri Vlog](https://www.youtube.com/watch?v=stu890)"
"Puri","2","Breakfast at hotel (₹400), Konark Sun Temple (₹500)","Lunch at Kamat (₹600), Chilika Lake (₹300)","Dinner at Wildgrass (₹500), Night walk (Free)","₹2,300","₹1,500","₹1,500","₹800","Budget Hotel","Kamat, Wildgrass","Konark Sun Temple, Chilika Lake","5","[Thrillophilia - Konark](https://www.thrillophilia.com)","[Puri Vlog](https://www.youtube.com/watch?v=stu890)"
"Puri","3","Breakfast at hotel (₹400), Raghurajpur Village (₹200)","Lunch at Honey Bee (₹600), Departure (₹800)","-","₹2,000","₹1,500","₹1,000","₹1,000","Budget Hotel","Honey Bee","Raghurajpur Village","5","[Thrillophilia - Raghurajpur](https://www.thrillophilia.com)","[Puri Vlog](https://www.youtube.com/watch?v=stu890)"
